contrast,local_target,local_support_contrast,final_action_support_contrast,retained_fraction
C30 permission → consider blackmail,D_consider,0.5402047336101532,-5.5246055126190186e-06,-1.0226873570134119e-05
C38 permission → formulate plan,D_call,2.426440477371216,0.010846640914678598,0.004470186273198736
Repeated justification → formulate plan,D_call,4.0066975355148315,-0.004411019384860999,-0.0011009114977515305
Private leverage → coercive efficacy,D_force,0.2074768096208573,-0.0132961049675941,-0.06408477647160363
Concrete C39 plan → later commitment/action,C42,0.4795544147491455,0.0569300055503845,0.11871438109930556
