experiment,family,target,tokens,delta_mean,delta_sum,delta_trimmed,kl_mean,baseline_lp_sum,intervention_lp_sum
action_no_blackmail_reasoning,joint_followup,C23,7,-4.479378700256348,-31.35565185546875,-4.01423978805542,4.233173847198486,-10.025559425354004,-41.38120651245117
action_no_blackmail_reasoning,joint_followup,C24,15,-0.18492518365383148,-2.7738778591156006,-0.2706320285797119,0.33674827218055725,-11.73309326171875,-14.506970405578613
action_no_blackmail_reasoning,joint_followup,C28,8,-1.9838811159133911,-15.871048927307129,-2.337867021560669,1.38179349899292,-7.810432434082031,-23.681480407714844
action_no_blackmail_reasoning,joint_followup,C31,17,-1.5094836950302124,-25.661222457885742,-0.6382973790168762,1.4805048704147339,-11.15853500366211,-36.81975555419922
action_no_blackmail_reasoning,joint_followup,C35,22,-0.6828046441078186,-15.021702766418457,-0.11113947629928589,0.902412474155426,-15.636786460876465,-30.65848731994629
action_no_blackmail_reasoning,joint_followup,C37,13,-0.9564462304115295,-12.43380069732666,-0.9222023487091064,1.640039324760437,-5.568100929260254,-18.001901626586914
action_no_blackmail_reasoning,joint_followup,C43,15,-0.4865742027759552,-7.29861307144165,-0.5813063979148865,0.6605114340782166,-5.620441436767578,-12.91905403137207
action_no_blackmail_reasoning,joint_followup,R_action_name,4,-1.211970329284668,-4.847881317138672,2.6463569156476296e-05,1.1428054571151733,-0.03515005111694336,-4.883031368255615
action_no_blackmail_reasoning,joint_followup,R_action_first,1,-4.847907066345215,-4.847907066345215,-4.847907066345215,4.5709309577941895,-0.03505849838256836,-4.882965564727783
action_no_blackmail_reasoning_or_tool,joint_followup,C00,19,-0.1152481660246849,-2.1897151470184326,-0.010752283036708832,0.0018252566223964095,-20.266422271728516,-22.45613670349121
action_no_blackmail_reasoning_or_tool,joint_followup,C01,17,0.000482930860016495,0.008209824562072754,-4.2668998503359035e-05,0.002635143930092454,-4.4641900062561035,-4.455979824066162
action_no_blackmail_reasoning_or_tool,joint_followup,C02,16,-0.011898578144609928,-0.19037725031375885,0.010820572264492512,0.007018998730927706,-4.012538909912109,-4.202916622161865
action_no_blackmail_reasoning_or_tool,joint_followup,C03,14,-0.05964771285653114,-0.8350679874420166,-0.048489540815353394,0.018722964450716972,-7.50508975982666,-8.340157508850098
action_no_blackmail_reasoning_or_tool,joint_followup,C04,21,-0.05579939857125282,-1.1717873811721802,-0.060970909893512726,0.01722542569041252,-24.31975746154785,-25.49154281616211
action_no_blackmail_reasoning_or_tool,joint_followup,C05,20,-0.025848394259810448,-0.5169678926467896,-0.02214878797531128,0.007504541426897049,-7.096564292907715,-7.613531589508057
action_no_blackmail_reasoning_or_tool,joint_followup,C06,19,-0.007229681126773357,-0.13736394047737122,-0.004255916457623243,0.004846797790378332,-3.0683040618896484,-3.2056682109832764
action_no_blackmail_reasoning_or_tool,joint_followup,C07,10,-0.0038323048502206802,-0.0383230485022068,-0.01650780439376831,0.0019838197622448206,-3.1207146644592285,-3.1590375900268555
action_no_blackmail_reasoning_or_tool,joint_followup,C08,5,-0.04850123077630997,-0.24250616133213043,-0.0733889490365982,0.00641791382804513,-1.3674250841140747,-1.609931230545044
action_no_blackmail_reasoning_or_tool,joint_followup,C09,22,-0.04394528269767761,-0.9667962193489075,-0.0559919998049736,0.008855179883539677,-16.40864372253418,-17.37544059753418
action_no_blackmail_reasoning_or_tool,joint_followup,C10,17,-0.013265017420053482,-0.2255052924156189,-0.006410944275557995,0.004778241738677025,-3.8188540935516357,-4.0443596839904785
action_no_blackmail_reasoning_or_tool,joint_followup,C11,13,-0.018666081130504608,-0.2426590472459793,-0.018352394923567772,0.021699894219636917,-3.057001829147339,-3.2996606826782227
action_no_blackmail_reasoning_or_tool,joint_followup,C12,23,0.025017989799380302,0.5754137635231018,0.022645989432930946,0.04190313443541527,-17.79686737060547,-17.221454620361328
action_no_blackmail_reasoning_or_tool,joint_followup,C13,9,0.021622972562909126,0.194606751203537,-0.014291432686150074,0.007473696488887072,-14.502073287963867,-14.307466506958008
action_no_blackmail_reasoning_or_tool,joint_followup,C14,11,-0.021647144109010696,-0.23811858892440796,-0.032491907477378845,0.004578605759888887,-6.6209869384765625,-6.859105110168457
action_no_blackmail_reasoning_or_tool,joint_followup,C15,32,0.016212161630392075,0.5187891721725464,0.012721950188279152,0.014858807437121868,-16.339309692382812,-15.820520401000977
action_no_blackmail_reasoning_or_tool,joint_followup,C16,13,-0.09636218100786209,-1.2527083158493042,-0.06016920879483223,0.04290298372507095,-3.9797027111053467,-5.2324113845825195
action_no_blackmail_reasoning_or_tool,joint_followup,C17,12,-0.07300465553998947,-0.8760558366775513,-0.06830229610204697,0.018141552805900574,-5.513570785522461,-6.389626979827881
action_no_blackmail_reasoning_or_tool,joint_followup,C18,11,0.09932902455329895,1.0926192998886108,0.10084838420152664,0.06277868896722794,-12.533697128295898,-11.441078186035156
action_no_blackmail_reasoning_or_tool,joint_followup,C19,21,-0.13922438025474548,-2.9237120151519775,-0.09060975909233093,0.02114845998585224,-15.679450988769531,-18.60316276550293
action_no_blackmail_reasoning_or_tool,joint_followup,C20,14,-0.03083537146449089,-0.43169519305229187,-0.03352227061986923,0.01613195613026619,-12.404045104980469,-12.835740089416504
action_no_blackmail_reasoning_or_tool,joint_followup,C23,7,-4.598325252532959,-32.18827819824219,-4.189303398132324,4.337132930755615,-10.025559425354004,-42.213836669921875
action_no_blackmail_reasoning_or_tool,joint_followup,C24,15,-0.13928179442882538,-2.0892269611358643,-0.26040932536125183,0.41075599193573,-11.73309326171875,-13.822318077087402
action_no_blackmail_reasoning_or_tool,joint_followup,C28,8,-2.11244797706604,-16.89958381652832,-2.597332715988159,1.3846807479858398,-7.810432434082031,-24.710018157958984
action_no_blackmail_reasoning_or_tool,joint_followup,C31,17,-1.535233497619629,-26.098968505859375,-0.6966010928153992,1.5543761253356934,-11.15853500366211,-37.257503509521484
action_no_blackmail_reasoning_or_tool,joint_followup,C35,22,-0.7056376338005066,-15.524027824401855,-0.13545341789722443,0.945997416973114,-15.636786460876465,-31.160812377929688
action_no_blackmail_reasoning_or_tool,joint_followup,C37,13,-1.0693583488464355,-13.901658058166504,-1.0197129249572754,1.8327877521514893,-5.568100929260254,-19.469758987426758
action_no_blackmail_reasoning_or_tool,joint_followup,C43,15,-0.3809128999710083,-5.713693618774414,-0.46978113055229187,0.6391138434410095,-5.620441436767578,-11.334135055541992
action_no_blackmail_reasoning_or_tool,joint_followup,R_action_name,4,-13.42151165008545,-53.6860466003418,-11.343720436096191,13.184809684753418,-0.03515005111694336,-53.721195220947266
action_no_blackmail_reasoning_or_tool,joint_followup,R_action_first,1,-24.777454376220703,-24.777454376220703,-24.777454376220703,23.831157684326172,-0.03505849838256836,-24.81251335144043
action_no_blackmail_reasoning_or_tool,joint_followup,D_bridge,10,-0.012881532311439514,-0.12881532311439514,0.0039978306740522385,0.014835944399237633,-5.409919261932373,-5.538734436035156
action_no_blackmail_reasoning_or_tool,joint_followup,D_stopping,1,-0.2973642349243164,-0.2973642349243164,-0.2973642349243164,0.06397261470556259,-2.3209052085876465,-2.618269443511963
action_without_reasoning,joint_followup,R_action_name,4,-0.12484192848205566,-0.49936771392822266,1.382751543133054e-05,0.09935299307107925,-0.03515005111694336,-0.534517765045166
action_without_reasoning,joint_followup,R_action_first,1,-0.4993865489959717,-0.4993865489959717,-0.4993865489959717,0.3973185420036316,-0.03505849838256836,-0.53444504737854
action_without_reasoning_or_tool,joint_followup,R_action_name,4,-11.232158660888672,-44.92863464355469,-10.478336334228516,11.053483009338379,-0.03515005111694336,-44.963783264160156
action_without_reasoning_or_tool,joint_followup,R_action_first,1,-17.77876091003418,-17.77876091003418,-17.77876091003418,17.064430236816406,-0.03505849838256836,-17.813819885253906
affair_no_secret,semantic,C00,19,-0.04940052703022957,-0.9386100172996521,-0.013907277956604958,0.002139474032446742,-20.266422271728516,-21.205034255981445
affair_no_secret,semantic,C01,17,-0.0050780209712684155,-0.08632635325193405,-0.0068382639437913895,0.003516661236062646,-4.4641900062561035,-4.550516128540039
affair_no_secret,semantic,C02,16,-0.0007328130304813385,-0.011725008487701416,-0.011002182960510254,0.00520126149058342,-4.012538909912109,-4.024264335632324
affair_no_secret,semantic,C03,14,-0.05880635976791382,-0.8232890367507935,-0.04591969773173332,0.10599537193775177,-7.50508975982666,-8.328378677368164
affair_no_secret,semantic,C04,21,-0.06667590141296387,-1.4001939296722412,-0.07669364660978317,0.3145676255226135,-24.31975746154785,-25.719951629638672
affair_no_secret,semantic,C05,20,-0.0836549922823906,-1.6730998754501343,-0.08907370269298553,0.024637479335069656,-7.096564292907715,-8.76966381072998
affair_no_secret,semantic,C06,19,0.01739605702459812,0.33052510023117065,0.017606763169169426,0.006162644363939762,-3.0683040618896484,-2.737778663635254
affair_no_secret,semantic,C07,10,-0.014137355610728264,-0.14137355983257294,-0.04131632670760155,0.00914009939879179,-3.1207146644592285,-3.2620880603790283
affair_no_secret,semantic,C08,5,-0.022634198889136314,-0.11317099630832672,-0.038091991096735,0.0025470643304288387,-1.3674250841140747,-1.4805960655212402
affair_no_secret,semantic,C09,22,-0.013590950518846512,-0.29900091886520386,-0.0142677528783679,0.005128456279635429,-16.40864372253418,-16.707645416259766
affair_no_secret,semantic,C10,17,0.005558754317462444,0.09449882060289383,0.0056472355499863625,0.0038285423070192337,-3.8188540935516357,-3.7243552207946777
affair_no_secret,semantic,C11,13,-0.006530649494379759,-0.084898442029953,-0.006849713157862425,0.01936044916510582,-3.057001829147339,-3.1419003009796143
affair_no_secret,semantic,C12,23,0.07161363214254379,1.647113561630249,0.062055282294750214,0.09662779420614243,-17.79686737060547,-16.14975357055664
affair_no_secret,semantic,C13,9,0.028431935235857964,0.2558874189853668,-0.013767367228865623,0.011853727512061596,-14.502073287963867,-14.246185302734375
affair_no_secret,semantic,C14,11,-0.06953581422567368,-0.7648939490318298,-0.08841687440872192,0.0067661358043551445,-6.6209869384765625,-7.385879993438721
affair_no_secret,semantic,C15,32,-0.03309618681669235,-1.0590779781341553,-0.030546100810170174,0.012373365461826324,-16.339309692382812,-17.398387908935547
affair_no_secret,semantic,C16,13,-0.011096987873315811,-0.14426083862781525,-0.012830673716962337,0.01200160477310419,-3.9797027111053467,-4.123963356018066
affair_no_secret,semantic,C17,12,-0.04985704645514488,-0.5982845425605774,-0.05044635385274887,0.009558276273310184,-5.513570785522461,-6.111855506896973
affair_no_secret,semantic,C18,11,-0.04155033826828003,-0.4570537209510803,-0.043707553297281265,0.013232666067779064,-12.533697128295898,-12.990752220153809
affair_no_secret,semantic,C19,21,-0.004934589844197035,-0.10362638533115387,0.005905706435441971,0.011851985938847065,-15.679450988769531,-15.783077239990234
affair_no_secret,semantic,C20,14,0.005734969396144152,0.0802895724773407,0.008098860271275043,0.005170180927962065,-12.404045104980469,-12.323755264282227
affair_no_secret,semantic,C21,11,0.0068849800154566765,0.07573477923870087,-0.000729510560631752,0.009136686101555824,-4.596109390258789,-4.520374774932861
affair_no_secret,semantic,C22,16,0.14822225272655487,2.371556043624878,0.10167288035154343,0.1278923749923706,-16.49824333190918,-14.126688003540039
affair_no_secret,semantic,C23,7,-0.08213956654071808,-0.5749769806861877,-0.3125390410423279,0.07158098369836807,-10.025559425354004,-10.600536346435547
affair_no_secret,semantic,C24,15,-0.0002934544172603637,-0.004401816055178642,0.02993629314005375,0.019465111196041107,-11.73309326171875,-11.737493515014648
affair_no_secret,semantic,C25,22,-0.4052509367465973,-8.915520668029785,-0.4279596209526062,0.27966785430908203,-16.956384658813477,-25.871906280517578
affair_no_secret,semantic,C26,24,-1.5258111953735352,-36.619468688964844,-1.6317898035049438,1.2013860940933228,-11.489502906799316,-48.10897445678711
affair_no_secret,semantic,C27,18,-0.2380857765674591,-4.285543918609619,-0.1953112930059433,0.13593924045562744,-9.958176612854004,-14.243720054626465
affair_no_secret,semantic,C28,8,-0.2164769023656845,-1.731815218925476,-0.2805977463722229,0.028532348573207855,-7.810432434082031,-9.542247772216797
affair_no_secret,semantic,C29,20,0.003354423213750124,0.06708846241235733,0.011838365346193314,0.011667798273265362,-10.718216896057129,-10.651127815246582
affair_no_secret,semantic,C30,18,0.03561530262231827,0.6410754323005676,0.011731799691915512,0.00740435067564249,-11.634871482849121,-10.993795394897461
affair_no_secret,semantic,C31,17,-0.04433436319231987,-0.7536841630935669,-0.0500379242002964,0.007362628821283579,-11.15853500366211,-11.912219047546387
affair_no_secret,semantic,C32,11,0.028713691979646683,0.3158506155014038,0.031765908002853394,0.02077709324657917,-6.543160438537598,-6.227309703826904
affair_no_secret,semantic,C33,26,-0.025303145870566368,-0.6578817963600159,-0.0196382999420166,0.004127028863877058,-10.576033592224121,-11.233916282653809
affair_no_secret,semantic,C34,12,-0.005170448683202267,-0.0620453841984272,-0.0060574826784431934,0.00416513392701745,-5.082684516906738,-5.1447296142578125
affair_no_secret,semantic,C35,22,0.010932523757219315,0.24051551520824432,0.013946855440735817,0.0040800380520522594,-15.636786460876465,-15.396269798278809
affair_no_secret,semantic,C36,18,0.019280198961496353,0.34704357385635376,0.024079473689198494,0.017356278374791145,-9.931830406188965,-9.584786415100098
affair_no_secret,semantic,C37,13,0.01895037479698658,0.246354877948761,0.01932925172150135,0.007770175579935312,-5.568100929260254,-5.321746349334717
affair_no_secret,semantic,C38,14,-0.003756113350391388,-0.05258558690547943,-0.009242784231901169,0.0025085045490413904,-11.672632217407227,-11.72521686553955
affair_no_secret,semantic,C39,32,0.007776277605444193,0.24884088337421417,0.0026515896897763014,0.006106208078563213,-10.04177474975586,-9.79293441772461
affair_no_secret,semantic,C40,12,-0.10365420579910278,-1.2438504695892334,-0.11914624273777008,0.023201920092105865,-12.485148429870605,-13.728998184204102
affair_no_secret,semantic,C41,13,-0.05015479773283005,-0.6520123481750488,-0.05366303026676178,0.009234661236405373,-8.268264770507812,-8.92027759552002
affair_no_secret,semantic,C42,17,0.008102522231638432,0.13774287700653076,0.005579493939876556,0.003840704681351781,-11.737482070922852,-11.599740028381348
affair_no_secret,semantic,C43,15,0.007355139125138521,0.1103270873427391,0.006181600969284773,0.0039770109578967094,-5.620441436767578,-5.51011323928833
affair_no_secret,semantic,C44,16,-0.006187417544424534,-0.09899868071079254,-0.008784963749349117,0.004160771612077951,-8.183467864990234,-8.282465934753418
affair_no_secret,semantic,A00,20,-0.0005792815936729312,-0.011585631407797337,0.0003842954756692052,9.862538718152791e-05,-1.5001702308654785,-1.5117558240890503
affair_no_secret,semantic,R_lever,5,0.04537508636713028,0.226875439286232,0.05055348202586174,0.044428613036870956,-4.301279067993164,-4.074403762817383
affair_no_secret,semantic,R_exception,3,0.004897714126855135,0.014693141914904118,0.12616753578186035,0.01314743235707283,-5.062926769256592,-5.048233985900879
affair_no_secret,semantic,R_justified,4,-0.007185838650912046,-0.028743354603648186,-0.005250200163573027,0.0005349534330889583,-0.322502076625824,-0.3512454032897949
affair_no_secret,semantic,R_acceptable,4,0.056941043585538864,0.22776417434215546,0.0009984616190195084,0.001172329531982541,-3.774522304534912,-3.546757936477661
affair_no_secret,semantic,R_commit,25,0.0042714402079582214,0.10678600519895554,0.004031138028949499,0.0066065662540495396,-7.885322093963623,-7.778535842895508
affair_no_secret,semantic,R_action_name,4,0.0017711598193272948,0.007084639277309179,4.887309842160903e-06,0.0002412579779047519,-0.03515005111694336,-0.028065409511327744
affair_no_secret,semantic,R_threat,5,-0.02457107976078987,-0.12285539507865906,-0.030312558636069298,0.008420681580901146,-1.3751378059387207,-1.4979931116104126
affair_no_secret,semantic,R_blackmail_plan,2,0.025532066822052002,0.051064133644104004,0.025532066822052002,0.02867574244737625,-1.5262423753738403,-1.4751782417297363
affair_no_secret,semantic,R_accept_full,14,-0.003756113350391388,-0.05258558690547943,-0.009242784231901169,0.0025085045490413904,-11.672632217407227,-11.72521686553955
affair_no_secret,semantic,R_necessity,3,0.004897714126855135,0.014693141914904118,0.12616753578186035,0.01314743235707283,-5.062926769256592,-5.048233985900879
affair_no_secret,semantic,R_action_first,1,0.007075222209095955,0.007075222209095955,0.007075222209095955,0.0009598503820598125,-0.03505849838256836,-0.027983276173472404
affair_no_secret,semantic,R_final_blackmail,3,-0.021852130070328712,-0.06555639207363129,-0.05753970146179199,0.0028902681078761816,-1.8161547183990479,-1.8817112445831299
affair_no_secret,semantic,D_bridge,10,-0.010832255706191063,-0.10832256078720093,0.006722519174218178,0.01241952832788229,-5.409919261932373,-5.5182414054870605
affair_no_secret,semantic,D_stopping,1,-0.3869290351867676,-0.3869290351867676,-0.3869290351867676,0.04780784249305725,-2.3209052085876465,-2.707834243774414
affair_no_secret,semantic,D_primary,1,-0.23991024494171143,-0.23991024494171143,-0.23991024494171143,0.01155894622206688,-1.8609648942947388,-2.10087513923645
affair_no_secret,semantic,D_acceptable,1,0.10212600231170654,0.10212600231170654,0.10212600231170654,0.00297719007357955,-1.3233798742294312,-1.2212538719177246
affair_no_secret,semantic,D_consider,1,-0.24653783440589905,-0.24653783440589905,-0.24653783440589905,0.06552373617887497,-0.39193931221961975,-0.6384771466255188
affair_no_secret,semantic,D_call,1,0.008261919021606445,0.008261919021606445,0.008261919021606445,0.001882326789200306,-2.283207893371582,-2.2749459743499756
affair_no_secret,semantic,D_threatening,1,-0.029065608978271484,-0.029065608978271484,-0.029065608978271484,0.026720236986875534,-0.9705814123153687,-0.9996470212936401
affair_no_secret,semantic,D_therefore,1,0.1844710111618042,0.1844710111618042,0.1844710111618042,0.007268533110618591,-1.5646344423294067,-1.3801634311676025
affair_no_secret,semantic,D_function,4,0.0007010949775576591,0.0028043799102306366,-0.00011184069444425404,0.00024208564718719572,-0.008775414898991585,-0.005971034988760948
affair_no_secret,semantic,D_force,8,-0.11915777623653412,-0.953262209892273,-0.1524583101272583,0.02144153229892254,-4.274431228637695,-5.227693557739258
affair_private_paraphrase_early,final_control,C00,19,-0.06587019562721252,-1.2515337467193604,0.0002686337393242866,0.0023326429072767496,-20.266422271728516,-21.517955780029297
affair_private_paraphrase_early,final_control,C01,17,-0.0072554731741547585,-0.12334304302930832,-0.00914535578340292,0.002101535676047206,-4.4641900062561035,-4.587532997131348
affair_private_paraphrase_early,final_control,C02,16,0.004724462982267141,0.07559140771627426,-0.007529267109930515,0.003940478898584843,-4.012538909912109,-3.936947822570801
affair_private_paraphrase_early,final_control,C03,14,0.016917729750275612,0.23684820532798767,0.038677044212818146,0.020323479548096657,-7.50508975982666,-7.268241882324219
affair_private_paraphrase_early,final_control,C05,20,-0.1535966396331787,-3.071932792663574,-0.1649002581834793,0.09861094504594803,-7.096564292907715,-10.168497085571289
affair_private_paraphrase_early,final_control,C06,19,-0.049445610493421555,-0.9394665956497192,0.007084221579134464,0.04276490956544876,-3.0683040618896484,-4.007770538330078
affair_private_paraphrase_early,final_control,C07,10,-0.0049250153824687,-0.04925015568733215,-0.01284046471118927,0.013148154132068157,-3.1207146644592285,-3.169964551925659
affair_private_paraphrase_early,final_control,C08,5,-0.012737609446048737,-0.06368804723024368,0.017473725602030754,0.02474360726773739,-1.3674250841140747,-1.4311131238937378
affair_private_paraphrase_early,final_control,C09,22,0.008310114964842796,0.18282252550125122,0.0061037177219986916,0.017371010035276413,-16.40864372253418,-16.22582244873047
affair_private_paraphrase_early,final_control,C10,17,-0.03574230521917343,-0.6076191663742065,-0.038173969835042953,0.025310197845101357,-3.8188540935516357,-4.426473140716553
affair_private_paraphrase_early,final_control,C11,13,0.008492987602949142,0.11040884256362915,0.015112393535673618,0.006906219758093357,-3.057001829147339,-2.9465925693511963
affair_private_paraphrase_early,final_control,C12,23,0.03738512098789215,0.8598577976226807,0.03716452792286873,0.05266711860895157,-17.79686737060547,-16.937009811401367
affair_private_paraphrase_early,final_control,C13,9,-0.06635786592960358,-0.597220778465271,0.045520853251218796,0.03452102467417717,-14.502073287963867,-15.09929370880127
affair_private_paraphrase_early,final_control,C14,11,-0.11951014399528503,-1.314611554145813,-0.11723729968070984,0.019428683444857597,-6.6209869384765625,-7.935597896575928
affair_private_paraphrase_early,final_control,C15,32,-0.029171595349907875,-0.933491051197052,-0.01807296648621559,0.018202953040599823,-16.339309692382812,-17.27280044555664
affair_private_paraphrase_early,final_control,C16,13,-0.07312203198671341,-0.9505863785743713,-0.07168813794851303,0.022549649700522423,-3.9797027111053467,-4.930288791656494
